Feature,Importance_Score
nCount_RNA,0.5664611362847947
log_feature_count,0.5000000192519941
log_rna_count,0.44335438402055666
nFeature_RNA,0.4320115450697953
nFeature_RNA_zscore,0.3873350822371739
nFeature_RNA_minmax,0.3873350600680874
nCount_RNA_zscore,0.0664611588069425
nCount_RNA_minmax,0.06646113628853702
rna_feature_ratio,0.046712534668638825
RNA_snn_res.0.8,0.02183703365100273
seurat_clusters,0.02183703365100273
