PC1,PC2,Cluster
-2646.8535,-548.81323,0
-2033.8104,-298.7799,0
-2525.6406,-544.8594,0
-1791.838,-676.59546,0
-2040.9554,-323.9323,0
-203.09106,339.502,7
-2578.9243,-525.8503,0
-1975.6338,-384.13583,0
4361.4033,1399.9844,3
-2142.2021,-340.1116,0
7013.8066,1180.5234,5
730.64233,605.93317,7
-2605.7417,-572.4806,0
-2023.2853,-317.3208,0
1126.8289,682.5511,3
16.773193,412.1313,7
4643.1445,-116.47571,3
-2617.2861,-564.0067,0
-2888.883,-685.36316,0
-1866.9463,-240.92786,0
5592.792,1323.3501,5
-2261.1172,-362.8877,0
-2891.411,-677.71875,0
-1036.603,-405.5231,7
1117.7849,673.2093,3
-2356.6702,-506.75043,0
-2446.185,-470.19797,0
-2699.8184,-618.65204,0
2324.3044,1001.5452,3
3317.848,1004.8472,3
-2678.0757,-561.8586,0
1614.759,547.7686,3
5603.8574,187.34369,5
-1628.9912,-154.57202,0
-1620.7411,-154.10999,0
-777.4448,234.73114,7
-2882.0093,-681.66956,0
-2608.1445,-589.3275,0
-2857.522,-691.7219,0
-1188.7059,103.98889,7
-1386.3787,-85.467834,0
1084.1492,1749.4104,3
655.8684,524.17084,7
1807.2156,3332.1394,3
-2840.172,-661.56934,0
-1927.2611,-276.62585,0
-2603.3032,-545.4001,0
-1616.435,-153.04108,0
-2842.3345,-662.1778,0
910.95215,373.3637,7
7471.5654,-433.90656,5
5520.8594,1531.8557,5
1493.5593,614.18524,3
-861.1301,124.16943,7
-2527.5256,-518.9841,0
2323.8333,3883.321,3
-1403.7764,-550.2814,0
23415.16,-1255.4346,1
-1014.7283,-394.64844,7
-613.7656,-91.40021,7
2578.4895,4492.8315,3
-1684.317,-641.26697,0
-2351.2463,-464.97617,0
-1031.6953,-373.8665,7
-1593.3672,-501.61057,0
-2886.5242,-683.7954,0
-286.11865,178.8183,7
-2740.2134,-616.5775,0
-441.42407,321.61884,7
842.5625,262.7469,7
-2750.256,-630.84296,0
-2809.8713,-627.9525,0
-2912.802,-682.554,0
-484.906,-116.53021,7
-2124.7358,-595.69604,0
-2736.112,-621.5106,0
2664.0735,-199.1286,3
-2434.5159,-568.4613,0
-1680.2223,-170.66205,0
4006.0095,1067.0496,3
-2639.3066,-581.9917,0
-1544.8223,-337.99097,0
1799.6677,2990.8103,3
20675.064,1094.1362,1
-1352.4633,-24.010437,0
-2540.9946,-499.8785,0
11650.058,2101.9822,5
-2893.3708,-677.3206,0
2635.4636,197.50592,3
-8.86084,366.31757,7
-2423.4932,-750.28076,0
-268.76978,151.82117,7
1838.0002,3217.742,3
48.51953,467.9521,7
-2394.3804,-461.30966,0
461.84033,307.4516,7
1388.3167,573.3221,3
-1314.1085,-536.9127,0
3729.799,1103.8308,3
1737.8928,2915.594,3
1022.9949,1430.2261,3
-148.35547,217.1352,7
-2863.3408,-670.13727,0
-882.93945,46.944763,7
997.2195,1484.406,3
-2284.1304,-385.74887,0
-983.2173,25.499878,7
3606.5632,-85.487366,3
1172.2307,584.56915,3
-2531.811,-509.93494,0
1424.554,621.1153,3
-1274.1509,-5.185669,7
800.62476,1023.32855,7
-2221.7834,-586.176,0
-1413.9738,-65.59729,0
-981.7832,-369.72632,7
4462.337,1439.7551,3
-2901.8218,-683.75507,0
12320.344,1503.593,5
-478.65967,7.7160645,7
-2299.9663,-433.56836,0
-1048.915,154.19067,7
-2220.8628,-410.86496,0
-1099.3152,26.638733,7
-1556.3563,-593.8186,0
-2281.638,-403.62677,0
-2217.018,-371.84637,0
-2832.5193,-659.0696,0
-2291.272,-541.46497,0
700.9741,1127.2651,7
-1935.5648,-717.7979,0
-637.87915,-216.11682,7
68.005615,167.05017,7
-2786.4292,-658.2285,0
-2397.2603,-570.92145,0
-2303.0876,-428.83432,0
-2767.9717,-652.7456,0
-1337.0752,-58.769653,0
27912.662,-3734.4397,6
-2087.2476,-391.07217,0
-2497.0513,-494.54388,0
-2098.225,-324.55542,0
3011.216,972.21844,3
-1101.5542,-64.756775,7
-774.91895,-420.90103,7
-1753.2803,-203.79865,0
1999.1624,877.8167,3
-2653.4556,-591.3625,0
-2133.3188,-386.78766,0
2259.0295,4110.775,3
-1681.7299,-647.93335,0
-2596.767,-588.5745,0
4178.673,1093.2075,3
-680.0681,-179.98859,7
-406.15356,249.08893,7
4220.9404,-105.175354,3
1994.8323,419.48737,3
1332.2615,1869.4116,3
4165.167,1102.0679,3
-2133.2913,-376.61633,0
3091.8923,475.2669,3
-2051.287,-369.75092,0
3570.362,846.4261,3
3707.1306,1067.5767,3
-2872.4392,-694.8384,0
-1965.2577,-584.2184,0
5597.494,934.58527,5
10097.669,1412.2695,5
-1921.076,-306.45728,0
-2698.195,-600.61414,0
-137.19995,402.65753,7
1419.508,2543.5654,3
267.0857,528.64545,7
-2879.019,-666.9402,0
26041.215,-1433.8066,6
-1418.9944,-563.5045,0
86117.55,-13811.724,2
-2024.3961,-428.24554,0
-2537.8733,-504.61252,0
-2736.3052,-622.44324,0
-2742.677,-588.5164,0
1050.7107,1832.7715,3
-2860.019,-673.8795,0
1245.5349,1839.0667,3
-277.6084,-46.395752,7
-1929.6185,-278.18176,0
-1811.4453,-761.3501,0
-2878.0425,-667.1659,0
-552.27075,-97.78558,7
4086.072,823.2304,3
843.3828,1115.6792,3
-660.26025,-192.13342,7
5178.8066,1329.8865,3
-1061.415,-428.04016,7
1196.1531,712.383,3
5104.1025,1012.36786,3
-2898.8784,-684.3256,0
4678.7646,1023.3149,3
2141.2532,3098.9802,3
-2579.57,-609.40015,0
-2568.7927,-546.3156,0
-2093.728,-588.7297,0
-2806.762,-637.7589,0
-1109.1646,-342.7952,7
11058.73,1441.5156,5
223.61157,325.23187,7
-1807.8389,-281.48315,0
-2766.302,-619.41077,0
-2646.6897,-688.6572,0
1109.1516,1789.2356,3
-398.59595,-18.731628,7
-1539.8563,-122.669556,0
-1486.4592,-589.6565,0
-2570.5684,-680.621,0
-1041.5127,9.784973,7
-2864.8994,-667.75256,0
6885.449,-18.91504,5
-2529.3162,-527.79504,0
-2754.5151,-611.63135,0
-750.93066,-243.14539,7
807.24194,1078.0923,7
-969.178,-0.8310547,7
-2623.4768,-730.10535,0
-1190.8561,-87.43219,7
-1289.0399,-63.41986,7
-2878.0735,-677.3639,0
-1045.4495,70.7655,7
-2848.3928,-656.8229,0
2697.3748,823.75385,3
-1994.2546,-315.06708,0
1318.949,1948.7236,3
-2870.4639,-690.1375,0
-2832.7014,-654.9387,0
1816.1477,2711.9414,3
13901.787,1618.0552,1
1275.8582,1532.9204,3
-1869.7661,-460.7457,0
-2851.8125,-683.7161,0
-1266.1417,-504.81357,0
458.45996,421.41156,7
-2352.069,-479.05856,0
1017.87134,1728.2256,3
-1668.3083,-252.6513,0
-2364.6108,-776.5469,0
-1824.3906,-307.7008,0
-2675.6738,-610.3157,0
-1994.3777,-717.084,0
-2248.2083,-374.68484,0
-2517.065,-497.62418,0
-411.63867,252.21674,7
-2541.394,-501.84735,0
-2133.8818,-379.503,0
-2399.359,-485.82104,0
-2381.3813,-442.5336,0
14877.068,1355.656,1
-2555.7769,-522.4287,0
-33.281494,253.93878,7
2608.714,884.5926,3
852.1914,1019.0057,3
-1746.5123,-366.37042,0
-762.0464,74.44226,7
-2254.5388,-586.683,0
-2678.3071,-573.04834,0
198.80493,513.95966,7
-2687.0007,-595.73914,0
-759.2644,-755.7469,7
-741.0864,-194.07843,7
1327.6096,1864.2615,3
-2819.0137,-667.9328,0
-1844.8165,-688.28235,0
-2838.165,-646.66455,0
-199.60742,195.90192,7
6284.24,1240.9895,5
-2226.9233,-405.52774,0
2120.8918,532.7049,3
186.3064,437.9809,7
-2345.1433,-762.13696,0
-1684.4694,-538.1516,0
-2011.3003,-653.42566,0
-2820.2827,-633.99176,0
-2662.546,-550.7062,0
-1779.1445,-195.49835,0
-2065.0657,-730.24805,0
-2541.8237,-514.0112,0
-2833.924,-670.996,0
-2747.6882,-623.24066,0
-2112.2803,-368.62134,0
500.24854,766.98517,7
176.34717,323.64508,7
-2736.2607,-607.161,0
-1810.8867,-251.28369,0
1107.3684,536.53546,3
653.3572,816.49506,7
9165.724,1737.2944,5
-1083.8486,-429.55682,7
610.0781,364.05817,7
-1955.0619,-649.55927,0
-804.8657,245.43097,7
-2046.0503,-739.2466,0
2588.4524,86.64319,3
257.0598,625.5754,7
-1103.8333,-106.10687,7
2370.9148,4715.6147,3
-1529.6421,-591.08215,0
5669.956,1225.9768,5
-2694.0437,-590.22064,0
-1817.1489,-246.94727,0
-1486.2275,-29.456665,0
-2390.8435,-458.96988,0
-520.28076,189.59198,7
-2651.9673,-553.89087,0
-2859.9585,-653.4924,0
-684.8198,253.67328,7
-2519.8035,-496.02917,0
-1493.7668,-563.67566,0
12043.545,1738.3679,5
1112.5588,501.80707,3
5149.7705,31.640137,3
-2156.7024,-401.43753,0
-975.0217,141.19287,7
-2538.6667,-508.50876,0
-1133.5206,64.20935,7
-2055.4119,-304.68402,0
-1665.8303,-653.2193,0
-1320.9187,-34.48822,7
2454.2136,962.90936,3
-259.30933,129.46655,7
2325.9182,-85.543335,3
-2856.068,-664.4778,0
-1733.1932,-240.5481,0
-2762.2197,-629.4725,0
31656.842,189.74542,6
-2049.776,-322.14648,0
1438.4675,815.1606,3
3861.652,1190.2878,3
554.1011,595.8355,7
-2698.0098,-604.7213,0
-2713.341,-614.89966,0
-817.8618,101.06329,7
-2367.5566,-474.9466,0
-2587.8103,-544.49005,0
-2371.0522,-657.91626,0
1592.9231,786.85333,3
-2480.4795,-463.19156,0
27132.428,-1622.8104,6
-2295.3296,-586.5507,0
1519.6838,2211.9915,3
-945.27,-395.49936,7
-1839.2917,-240.42023,0
-1724.3994,-657.64185,0
34882.645,20.140015,6
-1227.7433,-441.17227,0
-1914.2704,-328.1876,0
-2742.8906,-594.5895,0
-2055.2449,-732.24915,0
-2433.0776,-481.02106,0
1390.5149,1751.481,3
1969.99,894.9405,3
-1405.4456,-98.96295,0
-1474.0052,-140.0592,0
-2899.863,-684.1621,0
-1990.1418,-319.90845,0
-977.9221,26.443787,7
-1122.9988,-473.66653,7
-2890.2441,-682.0132,0
-1747.3406,-249.90704,0
1909.6819,2990.9045,3
98.30591,290.46417,7
-1283.2426,-416.62903,0
-2633.1045,-672.00757,0
-43.153076,-274.63403,7
1461.7429,2148.2112,3
-2734.5503,-623.8688,0
1045.2214,1573.6421,3
-1981.9473,-591.02313,0
-2069.087,-482.49988,0
-159.71558,221.49615,7
-2347.1406,-404.57864,0
-2144.2588,-566.22534,0
-2613.5012,-545.36926,0
1305.8474,669.67194,3
-2438.4983,-457.47656,0
-1517.0377,-596.67664,0
-2808.982,-658.73083,0
-1652.8096,-121.10681,0
18448.53,-2150.5984,1
-2768.896,-632.1979,0
-769.98926,105.67554,7
-1826.3992,-257.32532,0
-1535.729,-378.62357,0
9740.487,1783.8,5
1231.1873,623.6496,3
-1541.6017,-181.48761,0
15307.971,1367.0996,1
-2832.8677,-645.70593,0
-517.7151,-96.64197,7
-1533.4247,-201.51031,0
-229.02295,131.47418,7
-1120.945,-250.62585,7
-2621.739,-545.7335,0
-2701.4883,-586.6917,0
-1889.318,-310.86493,0
2587.2747,864.43964,3
-2352.5613,-446.32922,0
